CompanyNumber,scrape_status,had_text,json_valid,schema_ok,error,stack_layer,function,business_model,vertical,primary_niche,primary_niche_raw,confidence,rationale,needs_review,reconcile
10633065,no-url,False,True,True,,services,other,project_oneoff,horizontal,insufficient_evidence,insufficient_evidence,0.3,No website text available; routed to insufficient_evidence without an LLM call.,True,agree_boost
08880066,scraped,True,True,True,,software,app_dev,recurring_managed,construction|manufacturing,app_dev__construction,app_dev__construction,1.0,Builds software for construction and manufacturing sectors,False,disagree_trust_llm
03648094,scraped,True,True,True,,services,msp_infrastructure,recurring_managed,horizontal,msp_infrastructure,msp_infrastructure__horizontal,1.0,IT repair and support services for individuals and businesses,False,agree_boost
03973355,failed,False,True,True,,services,other,project_oneoff,horizontal,insufficient_evidence,insufficient_evidence,0.3,No website text available; routed to insufficient_evidence without an LLM call.,True,agree_boost
08165040,scraped,True,True,True,,services,other,project_oneoff,horizontal,insufficient_evidence,insufficient_evidence,0.1,"Consultancy, environmental focus, no clear tech function",False,no_rules_overlap
06552920,scraped,True,True,True,,software,app_dev|cyber,recurring_managed,horizontal,app_dev,app_dev__horizontal,1.0,"Builds bespoke software, prioritises cybersecurity, offers maintenance",False,disagree_trust_llm
08005721,scraped,True,True,True,,data_info_services,data_analytics_ai,recurring_managed,horizontal,data_analytics_ai,data_analytics_ai__horizontal,1.0,"Data platform, BI, ML models, analytics services",False,disagree_trust_llm
11305405,scraped,True,True,True,,data_info_services,data_analytics_ai,recurring_managed,horizontal,data_analytics_ai,data_analytics_ai__horizontal,0.9,Platform analyzes gameplay data for game studios,False,disagree_trust_llm
09099321,scraped,True,True,True,,services,app_dev|other,project_oneoff,horizontal,app_dev,app_dev__horizontal,0.9,"Creative agency delivering solutions, concept to execution",False,agree_boost
08897429,scraped,True,True,True,,services,other,project_oneoff,horizontal,other,other__horizontal,0.9,IT consultancy delivering creative solutions and digital growth,False,agree_boost
03119779,scraped,True,True,True,,services,erp_crm|app_dev,recurring_managed,horizontal,erp_crm,erp_crm__horizontal,0.9,IT consultancy digitizing invoice processes via network,False,agree_boost
06058559,no-url,False,True,True,,services,other,project_oneoff,horizontal,insufficient_evidence,insufficient_evidence,0.3,No website text available; routed to insufficient_evidence without an LLM call.,True,agree_boost
06082750,parked,False,True,True,,services,other,project_oneoff,horizontal,insufficient_evidence,insufficient_evidence,0.3,No website text available; routed to insufficient_evidence without an LLM call.,True,agree_boost
11514486,scraped,True,True,True,,services,other,project_oneoff,finserv,other__finserv,other__finserv,0.8,IT consultancy delivering business and technology change programmes,False,no_rules_overlap
11423634,parked,False,True,True,,services,other,project_oneoff,horizontal,insufficient_evidence,insufficient_evidence,0.3,No website text available; routed to insufficient_evidence without an LLM call.,True,agree_boost
02472380,no-url,False,True,True,,services,other,project_oneoff,horizontal,insufficient_evidence,insufficient_evidence,0.2,No website text available; routed to insufficient_evidence without an LLM call.,True,disagree_no_text_review
02110018,failed,False,True,True,,services,other,project_oneoff,horizontal,insufficient_evidence,insufficient_evidence,0.3,No website text available; routed to insufficient_evidence without an LLM call.,True,agree_boost
09941441,failed,False,True,True,,services,other,project_oneoff,horizontal,insufficient_evidence,insufficient_evidence,0.3,No website text available; routed to insufficient_evidence without an LLM call.,True,agree_boost
02296369,no-url,False,True,True,,services,other,project_oneoff,horizontal,insufficient_evidence,insufficient_evidence,0.2,No website text available; routed to insufficient_evidence without an LLM call.,True,disagree_no_text_review
03477318,scraped,True,True,True,,software,app_dev|data_analytics_ai,recurring_managed,healthcare,app_dev__healthcare,app_dev__healthcare,1.0,"Builds lab software platform, recurring revenue, healthcare vertical",False,agree_boost
02453594,failed,False,True,True,,services,other,project_oneoff,horizontal,insufficient_evidence,insufficient_evidence,0.2,No website text available; routed to insufficient_evidence without an LLM call.,True,no_rules_overlap
07040249,scraped,True,True,True,,services,app_dev|data_analytics_ai,project_oneoff,education|govt|horizontal,app_dev__education,app_dev__education,0.8,Provides technical consultancy and bespoke services,False,disagree_trust_llm
12239915,parked,False,True,True,,services,other,project_oneoff,horizontal,insufficient_evidence,insufficient_evidence,0.2,No website text available; routed to insufficient_evidence without an LLM call.,True,disagree_no_text_review
12415626,scraped,True,True,True,,software,app_dev|data_analytics_ai,recurring_managed,education,app_dev__education,app_dev__education,0.9,Builds assessment platform for education sector,False,disagree_trust_llm
11230009,failed,False,True,True,,services,other,project_oneoff,horizontal,insufficient_evidence,insufficient_evidence,0.2,No website text available; routed to insufficient_evidence without an LLM call.,True,disagree_no_text_review
01928817,parked,False,True,True,,services,other,project_oneoff,horizontal,insufficient_evidence,insufficient_evidence,0.2,No website text available; routed to insufficient_evidence without an LLM call.,True,disagree_no_text_review
11305069,scraped,True,True,True,,software,app_dev|data_analytics_ai,recurring_managed,healthcare,app_dev__healthcare,app_dev__healthcare,0.9,Software for healthcare pregnancy support,False,disagree_trust_llm
SC614929,scraped,True,True,True,,services,app_dev|erp_crm,project_oneoff,horizontal,app_dev,app_dev__horizontal,0.8,"Develops custom software, offers consultation, serves SMBs",False,disagree_trust_llm
01606257,scraped,True,True,True,,software,app_dev,recurring_managed,finserv,app_dev__finserv,app_dev__finserv,0.9,Builds software for consumer credit companies,False,agree_boost
12257396,parked,False,True,True,,services,other,project_oneoff,horizontal,insufficient_evidence,insufficient_evidence,0.2,No website text available; routed to insufficient_evidence without an LLM call.,True,disagree_no_text_review
09180718,failed,False,True,True,,services,other,project_oneoff,horizontal,insufficient_evidence,insufficient_evidence,0.3,No website text available; routed to insufficient_evidence without an LLM call.,True,agree_boost
11113204,scraped,True,True,True,,services,other,project_oneoff,horizontal,other,other__horizontal,0.9,"Market and event organiser, not tech",False,agree_boost
05411424,scraped,True,True,True,,services,app_dev|other,project_oneoff,horizontal,app_dev,app_dev__horizontal,0.9,Creates custom interactive tech experiences for events,False,agree_boost
